Camsite,Latitude,Longitude,Hdens,Park_ID,Trail,OffTrail,NVDI,People,Det_dist,ABC
Weymouth Woods 4A,0.3514251,-0.7939346,9.475259399,29,1,0,0.586119759,0.238,1.5,A
Weymouth Woods 4B,0.3514308,-0.7939353,9.557111359,29,0,1,0.587586753,0,1.5,B
Weymouth Woods 4C,0.3514412,-0.7939392,9.666351318,29,0,1,0.590534864,0,1.3,C
Weymouth Woods 5A,0.3514332,-0.7939582,9.69420166,29,1,0,0.583910602,0.056,1.5,A
Weymouth Woods 5B,0.3514383,-0.7939574,9.748242188,29,0,1,0.585241428,0,1.4,B
Weymouth Woods 5C,0.3514457,-0.793956,9.823365784,29,0,1,0.587904185,0,1.3,C
Weymouth Woods 7A,0.3515179,-0.7936647,7.17953186,29,1,0,0.598066612,0.665,1.5,A
Weymouth Woods 7C,0.3515286,-0.7936644,7.215022278,29,0,1,0.595052828,0.003,1.2,C
Weymouth Woods 8A,0.3515036,-0.7936722,7.233283997,29,1,0,0.608487713,0.234,1.5,A
Weymouth Woods 8B,0.351505,-0.7936816,7.365673828,29,0,1,0.602312926,0,1.5,B
Weymouth Woods 8C,0.3515081,-0.7936845,7.416377258,29,0,1,0.601104752,0,1.5,C
Weymouth Woods 9A,0.3514927,-0.7936835,7.347587585,29,1,0,0.607169988,0.58,1.35,A
Weymouth Woods 9B,0.3514894,-0.7936816,7.300152588,29,0,1,0.608339399,0,1.7,B
Weymouth Woods 9C,0.3514874,-0.7936769,7.239060211,29,0,1,0.609374268,0,1.4,C
Wintergreen 10A,0.3791475,-0.7889357,1.091910172,31,1,0,0.862294846,0.003,1.244625,A
Wintergreen 10B,0.3791517,-0.788938,1.089273262,31,0,1,0.860328528,0,0.65,B
Wintergreen 10C,0.3791871,-0.7889461,1.069656944,31,0,1,0.82823045,0,1.7,C
Wintergreen 12A,0.3791839,-0.7888898,1.119550514,31,1,0,0.722565719,0.004,0.7,A
Wintergreen 12B,0.3791763,-0.7888998,1.109825802,31,0,1,0.730540844,0,1.280714286,B
Wintergreen 12C,0.3792011,-0.7889048,1.101446819,31,0,1,0.706805047,0,1.6,C
Wintergreen 14A,0.3792413,-0.788872,1.126468563,31,1,0,0.559936739,0.028,1.244625,A
Wintergreen 14C,0.3792404,-0.7888926,1.107681561,31,0,1,0.519245209,0,1.2,C
Wintergreen 15A,0.3792707,-0.788875,1.116840267,31,1,0,0.906427174,0.027,1.3,A
Wintergreen 15B,0.3792669,-0.7888783,1.115972805,31,0,1,0.906027739,0,1.1,B
Wintergreen 15C,0.3792445,-0.7889081,1.08937788,31,0,1,0.906603687,0,1,C
Wintergreen 16A,0.3792792,-0.7889273,1.059102631,31,1,0,0.524386215,0.015,1.05,A
Wintergreen 16B,0.3792745,-0.7889273,1.061392212,31,0,1,0.525888988,0,1.2,B
Wintergreen 17A,0.3792971,-0.7889707,0.985202217,31,1,0,0.670976662,0.009,1.5,A
Wintergreen 17B,0.3792915,-0.7889695,0.995427704,31,0,1,0.675242762,0,1.2,B
Wintergreen 17C,0.3792525,-0.7889709,1.017541504,31,0,1,0.677265171,0,0.8,C
Wintergreen 20A,0.3793125,-0.7889998,0.921430683,31,1,0,0.819183362,0,1,A
Wintergreen 20B,0.379309,-0.7889958,0.933929348,31,0,1,0.822917837,0,1.1,B
Wintergreen 21A,0.3793352,-0.7889795,0.901488495,31,1,0,0.909061774,0.008,1.2,A
Wintergreen 21C,0.3793385,-0.788972,0.908391857,31,0,1,0.909759041,0,0.8,C
Wintergreen 23A,0.3793396,-0.7888614,1.048632145,31,1,0,0.811944034,0,2,A
Wintergreen 23B,0.3793412,-0.7888684,1.038070107,31,0,1,0.805692095,0,1.5,B
Wintergreen 24A,0.3793586,-0.7888695,1.011915112,31,1,0,0.657631539,0.001,1.8,A
Wintergreen 24B,0.3793621,-0.7888627,1.013246155,31,0,1,0.660548832,0,1.5,B
Wintergreen 24C,0.3793586,-0.7888528,1.028532314,31,0,1,0.671002844,0,1.6,C
Wintergreen 25A,0.3793651,-0.7889105,0.949975395,31,1,0,0.492480786,0,0.65,A
