Site,1,2,3,4,5,6,7
Frozen Head Unhunted 21C,0,0,0,0,0,0,0
Frozen Head Unhunted 22A,1,0,0,0,0,0,0
Frozen Head Unhunted 22B,0,0,0,1,0,0,0
Frozen Head Unhunted 22C,0,0,1,0,0,0,0
Frozen Head Unhunted 23A,0,0,0,0,0,0,0
Frozen Head Unhunted 23C,0,0,0,0,0,0,0
Frozen Head Unhunted 24A,0,0,0,0,0,0,0
Frozen Head Unhunted 24B,0,0,0,0,0,0,0
Frozen Head Unhunted 24C,0,0,0,0,0,0,0
Frozen Head Unhunted 2B,0,0,0,0,0,0,0
Frozen Head Unhunted 3A,0,0,0,0,0,0,1
Frozen Head Unhunted 3B,0,0,0,0,0,0,0
Frozen Head Unhunted 4A,0,0,0,0,0,0,0
Frozen Head Unhunted 4B,0,0,0,0,0,0,0
Frozen Head Unhunted 5A,0,0,0,0,1,0,0
Frozen Head Unhunted 5B,0,0,0,0,0,0,0
Frozen Head Unhunted 5C,0,0,0,0,0,0,0
Frozen Head Unhunted 6A,1,0,0,1,1,0,0
Frozen Head Unhunted 6B,0,0,0,0,0,0,0
Frozen Head Unhunted 6C,0,0,0,0,0,0,1
Frozen Head Unhunted 7A,0,0,0,0,0,0,0
Frozen Head Unhunted 7B,0,0,0,0,0,0,0
Frozen Head Unhunted 7C,0,0,0,0,0,0,0
Frozen Head Unhunted 8A,0,0,0,1,0,0,0
Frozen Head Unhunted 8C,0,0,0,0,0,0,0
Frozen Head Unhunted 9A,0,1,0,0,1,0,0
Frozen Head Unhunted 9B,0,0,0,0,0,0,0
Frozen Head Unhunted 9C,0,0,0,0,0,1,0
Gambrill 10A,0,0,0,0,0,0,0
Gambrill 10B,0,0,0,0,0,0,0
Gambrill 10C,0,0,0,0,0,0,0
Gambrill 1A,0,0,0,0,0,0,0
Gambrill 1C,0,0,0,0,0,0,0
Gambrill 2A,0,0,0,0,0,0,0
Gambrill 2C,0,0,0,0,0,0,0
Gambrill 3B,0,0,0,0,0,0,0
Gambrill 4A,0,0,0,0,0,0,0
Gambrill 4B,0,0,0,0,0,0,0
Gambrill 4C,0,0,0,0,0,0,0
Gambrill 5A,0,0,0,0,0,0,0
Gambrill 5B,0,0,0,0,0,0,0
Gambrill 5C,0,0,0,0,0,0,0
Gambrill 6A,0,0,0,0,0,0,0
Gambrill 6B,0,0,0,0,0,0,0
Gambrill 6C,0,0,0,0,0,0,0
Gambrill 7A,0,0,0,0,0,0,0
Gambrill 7B,0,0,0,0,0,0,0
Gambrill 7C,0,0,0,0,0,0,0
Gambrill 8A,0,0,0,0,0,0,0
Gambrill 8B,0,0,0,0,0,0,0
Gambrill 8C,0,0,0,0,0,0,0
Gambrill 9A,0,0,0,0,0,0,0
Gambrill 9B,0,0,0,0,0,0,0
Gambrill 9C,0,0,0,0,0,0,0
George Washington NF 10C,0,0,0,0,0,0,0
George Washington NF 12A,0,0,0,0,0,1,0
George Washington NF 12B,0,0,0,0,0,0,0
George Washington NF 13A,0,0,0,0,0,0,0
George Washington NF 13B,0,0,0,0,0,0,0
George Washington NF 13C,0,0,0,0,0,0,0
George Washington NF 14A,0,1,0,0,0,1,1
George Washington NF 14B,0,0,0,0,0,0,0
George Washington NF 14C,0,0,0,0,0,0,1
George Washington NF 15A,1,0,1,0,0,0,0
George Washington NF 15B,0,0,1,0,0,0,0
George Washington NF 15C,0,0,0,0,0,0,0
George Washington NF 16A,0,0,1,1,0,0,0
George Washington NF 16C,0,0,0,0,0,0,0
George Washington NF 18A,1,1,0,0,0,0,0
George Washington NF 18B,0,0,0,0,0,0,0
George Washington NF 19A,0,0,0,0,0,1,0
George Washington NF 19B,0,0,0,0,0,0,0
George Washington NF 19C,0,0,0,0,0,0,0
George Washington NF 1A,0,0,0,0,0,0,0
George Washington NF 1B,0,0,0,0,0,0,0
George Washington NF 1C,0,0,0,0,0,0,0
George Washington NF 20A,0,0,0,0,0,0,0
George Washington NF 20B,0,0,0,0,0,0,0
George Washington NF 20C,0,0,0,0,0,0,0
George Washington NF 21A,0,0,0,0,0,0,0
George Washington NF 21B,0,0,0,0,0,0,0
George Washington NF 21C,0,0,0,0,0,0,0
George Washington NF 30A,0,1,0,0,0,0,0
George Washington NF 30B,0,0,0,0,0,0,0
George Washington NF 30C,0,0,0,0,0,0,0
George Washington NF 31A,0,0,0,0,0,0,0
George Washington NF 31B,0,0,0,0,0,0,0
George Washington NF 31C,0,1,0,0,0,0,0
George Washington NF 32A,0,0,0,0,1,0,0
George Washington NF 32B,0,0,0,0,0,0,0
George Washington NF 32C,0,0,0,0,0,0,0
George Washington NF 3A,0,0,0,0,0,0,0
George Washington NF 3B,0,0,0,0,0,0,0
George Washington NF 3C,0,0,0,0,0,0,0
George Washington NF 4A,1,0,0,0,0,0,0
George Washington NF 4B,0,0,0,0,0,0,0
George Washington NF 4C,0,0,0,0,0,0,0
